user_id,item_id,label,negative_source,split,query_ts,user_history_count,user_unique_poi_count,user_active_span_days,user_recent_count_30d,user_avg_visited_log1p_popularity,user_center_lat,user_center_lon,user_activity_radius_km,user_coord_coverage,item_log1p_popularity,item_prefix_interactions,item_cold_in_prefix,item_days_since_last_active,item_last_active_missing,item_local_density_1km,item_coord_missing,cross_recall_score,cross_dist_to_center_km,cross_dist_missing,cross_candidate_rank,cross_in_candidates,ctx_request_hour,ctx_request_dow,ctx_days_since_last_checkin
16805,160,0,popularity_negative,val,1276728563,7,7,37.088298611111114,4,2.8329054362233133,39.02864425938572,-94.94510763252856,29.739280375181885,1.0,6.927557906278317,1019,False,-122.586875,False,78.0,False,-0.04264282435178757,707.2924907691047,False,-1,False,22,2,10.909027777777778
20510,18224,0,recall_hard_negative,train,1283140797,19,19,52.82873842592593,16,3.482199334443671,37.24989074679474,-119.96708091926841,284.5702762504442,1.0,2.995732273553991,19,False,-33.70872685185185,False,20.0,False,6.423393726348877,448.78942620208045,False,96,True,3,0,20.346851851851852
21154,8728,0,recall_hard_negative,train,1283130593,19,19,59.934583333333336,12,4.18013362008864,30.95568871526843,-94.45957505951053,572.1316976916338,1.0,4.330733340286331,75,False,-36.69349537037037,False,92.0,False,6.315837860107422,318.4993276965291,False,146,True,1,0,0.04488425925925926
21500,31058,0,recall_hard_negative,train,1283871061,17,17,62.07300925925926,13,2.8553628263233595,58.24060286004118,14.060155490876474,163.1963632217259,1.0,2.3978952727983707,10,False,-18.685659722222223,False,0.0,False,7.462918281555176,220.7923480564243,False,57,True,14,1,0.9738541666666667
21554,19533,0,random_negative,train,1286544618,40,40,96.32061342592593,8,3.3527878629302172,32.9604426506225,-94.6579375880025,1717.432833824819,1.0,2.4849066497880004,11,False,25.56224537037037,False,59.0,False,1.4445720911026,1341.148393866017,False,-1,False,13,4,3.3918518518518517
21590,34492,0,recall_hard_negative,val,1278763262,13,13,8.833935185185185,13,3.506608237241371,39.74862752798462,-75.69711138606154,108.87946097718287,1.0,1.9459101490553132,6,False,-77.23260416666666,False,2.0,False,5.238750457763672,77.62578252551998,False,167,True,12,5,0.0011458333333333333
25808,7347,0,popularity_negative,train,1286676241,11,11,50.76586805555556,3,3.44196859271121,35.837757938936356,-119.65511445210912,318.1652719523199,1.0,4.143134726391533,62,False,-10.80945601851852,False,1034.0,False,-4.507611274719238,2128.575494317692,False,-1,False,2,6,0.1927199074074074
26335,39350,0,random_negative,val,1285613624,10,10,32.56136574074074,7,3.199087782583087,57.69141499993,11.98331090845,4.086964262374105,1.0,1.791759469228055,5,False,-4.180416666666667,False,11.0,False,0.01619456708431244,7257.466347032484,False,-1,False,18,0,1.7035532407407408
26339,7643,0,popularity_negative,train,1286736679,19,19,40.126226851851854,9,3.4895882160582987,40.781873959442095,-73.78397250379473,244.46637094479473,1.0,4.110873864173311,60,False,-5.346759259259259,False,30.0,False,-2.3977553844451904,3956.5303884954824,False,-1,False,18,6,0.02925925925925926
27445,2318,0,random_negative,train,1286655984,25,25,19.65599537037037,25,3.825766030975322,37.78052406318399,-122.42846921005604,2.6864035745796047,1.0,3.784189633918261,43,False,-0.19369212962962962,False,89.0,False,-0.6318496465682983,2412.1516051576646,False,-1,False,20,5,12.20375
